Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
mäntylahotorviainen	Eurytrichothrips affinis	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
	Acanthothrips nodicornis	Stable population	LC (2019)		
	Phlaeothrips annulipes	Stable population	LC (2019)		
	Phlaeothrips bispinosus	Stable population	NT (2019)	Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
	Phlaeothrips coriaceus	Stable population	DD (2019)		
	Phlaeothrips denticauda	Stable population	DD (2019)	Connectivity of forest conservation areas – SUMI Project 2020	
	Lispothrips wasastjernae		NE (2019)		
	Lispothrips crassipes	Stable population	LC (2019)		
	Cephalothrips monilicornis	Stable population	LC (2019)		
	Hindsiothrips oettingeni	Stable population	NT (2019)		
	Brachythrips flavicornis	Stable population	RE (2019)		
	Hoplothrips carpathicus	Stable population	LC (2019)		
	Hoplothrips corticis	Stable population	LC (2019)		
	Hoplothrips fungi	Stable population	LC (2019)		
	Hoplothrips grisescens	Stable population	DD (2019)		
	Hoplothrips pallicornis	Stable population	DD (2019)		
	Hoplothrips pedicularius	Stable population	LC (2019)		
	Hoplothrips polysticti	Stable population	LC (2019)		
	Hoplothrips ulmi	Stable population	LC (2019)		
	Hoplothrips unicolor	Stable population	LC (2019)		
	Maderothrips longisetis	Stable population	LC (2019)		
	Liophloeothrips glaber	Stable population	NE (2019)		
	Liophloeothrips hungaricus	Stable population	LC (2019)		
	Hoplandrothrips bidens	Stable population	DD (2019)		
dracaena thrips	Parthenothrips dracaenae	Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
black glasshouse thrips	Heliothrips haemorrhoidalis	Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
banded glasshouse thrips	Hercinothrips femoralis	Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
	Dendrothrips degeeri	Stable population	LC (2019)		
	Dendrothrips saltator	Stable population	LC (2019)		Dendrothrips saltatrix Uzel, 1895
	Dendrothrips ornatus	Stable population	DD (2019)		
	Leucothrips nigripennis		NA (2019)		
	Sericothrips bicornis	Stable population	LC (2019)		
	Neohydatothrips abnormis		LC (2019)		
	Neohydatothrips gracilicornis	Stable population	LC (2019)		
amerikanripsiäinen	Echinothrips americanus	Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
begonia thrips	Scirtothrips longipennis	Stable population; Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
alfalfa thrips	Frankliniella occidentalis	Stable population; Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
	Frankliniella intonsa	Stable population	LC (2019)		
	Frankliniella nigriventris	Stable population	LC (2019)		
	Frankliniella pallida	Stable population	LC (2019)		
	Frankliniella tenuicornis	Stable population	LC (2019)		
	Chaetanaphothrips orchidii	Anthropogenic	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
